neighbourhood,date,count,month
Allston,2006-06-13,2,June
Allston,2006-06-14,3,June
Allston,2006-06-15,1,June
Allston,2006-06-16,4,June
Allston,2006-06-17,1,June
Allston,2006-06-18,1,June
Allston,2006-06-19,4,June
Allston,2006-06-20,1,June
Allston,2006-06-21,1,June
Allston,2006-06-22,2,June
Allston,2006-06-23,1,June
Allston,2006-06-24,1,June
Allston,2006-06-25,1,June
Allston,2006-06-26,2,June
Allston,2006-06-27,2,June
Allston,2006-06-28,3,June
Allston,2006-06-30,3,June
Allston,2006-07-01,1,July
Allston,2006-07-05,3,July
Allston,2006-07-06,1,July
Allston,2006-07-07,5,July
Allston,2006-07-08,2,July
Allston,2006-07-09,1,July
Allston,2006-07-10,2,July
Allston,2006-07-12,1,July
Allston,2006-07-15,2,July
Allston,2006-07-16,1,July
Allston,2006-07-17,2,July
Allston,2006-07-18,1,July
Allston,2006-07-19,3,July
Allston,2006-07-20,2,July
Allston,2006-07-21,1,July
Allston,2006-07-23,2,July
Allston,2006-07-24,3,July
Allston,2006-07-28,1,July
Allston,2006-07-29,1,July
Allston,2006-07-31,2,July
Allston,2006-08-01,2,August
Allston,2006-08-03,3,August
Allston,2006-08-04,2,August
Allston,2006-08-07,2,August
Allston,2006-08-08,1,August
Allston,2006-08-09,1,August
Allston,2006-08-10,1,August
Allston,2006-08-11,3,August
Allston,2006-08-12,1,August
Allston,2006-08-14,3,August
Allston,2006-08-15,1,August
Allston,2006-08-17,4,August
Allston,2006-08-18,1,August
Allston,2006-08-19,3,August
Allston,2006-08-21,3,August
Allston,2006-08-22,1,August
Allston,2006-08-23,1,August
Allston,2006-08-27,2,August
Allston,2006-08-30,1,August
Allston,2006-08-31,2,August
Allston,2006-09-01,2,September
Allston,2006-09-02,2,September
Allston,2006-09-03,3,September
Allston,2006-09-04,3,September
Allston,2006-09-05,1,September
Allston,2006-09-06,1,September
Allston,2006-09-07,2,September
Allston,2006-09-08,2,September
Allston,2006-09-09,1,September
Allston,2006-09-11,1,September
Allston,2006-09-13,1,September
Allston,2006-09-14,2,September
Allston,2006-09-15,3,September
Allston,2006-09-16,5,September
Allston,2006-09-18,4,September
Allston,2006-09-19,8,September
Allston,2006-09-20,2,September
Allston,2006-09-22,1,September
Allston,2006-09-23,3,September
Allston,2006-09-27,1,September
Allston,2006-09-28,3,September
Allston,2006-09-30,1,September
Allston,2006-10-01,1,October
Allston,2006-10-02,3,October
Allston,2006-10-03,1,October
Allston,2006-10-04,3,October
Allston,2006-10-05,1,October
Allston,2006-10-06,3,October
Allston,2006-10-08,5,October
Allston,2006-10-09,3,October
Allston,2006-10-10,4,October
Allston,2006-10-11,2,October
Allston,2006-10-12,1,October
Allston,2006-10-13,1,October
Allston,2006-10-14,1,October
Allston,2006-10-15,3,October
Allston,2006-10-16,3,October
Allston,2006-10-19,3,October
Allston,2006-10-21,6,October
Allston,2006-10-23,2,October
Allston,2006-10-24,3,October
Allston,2006-10-25,4,October
Allston,2006-10-26,1,October
Allston,2006-10-27,5,October
Allston,2006-10-28,1,October
Allston,2006-10-29,4,October
Allston,2006-10-30,2,October
Allston,2006-10-31,3,October
Allston,2006-11-01,7,November
Allston,2006-11-02,5,November
Allston,2006-11-03,1,November
Allston,2006-11-04,1,November
Allston,2006-11-06,1,November
Allston,2006-11-09,3,November
Allston,2006-11-11,1,November
Allston,2006-11-12,5,November
Allston,2006-11-13,5,November
Allston,2006-11-14,2,November
Allston,2006-11-16,2,November
Allston,2006-11-17,3,November
Allston,2006-11-18,1,November
Allston,2006-11-20,2,November
Allston,2006-11-21,2,November
Allston,2006-11-22,2,November
Allston,2006-11-23,1,November
Allston,2006-11-24,3,November
Allston,2006-11-25,4,November
Allston,2006-11-26,2,November
Allston,2006-11-27,2,November
Allston,2006-11-28,1,November
Allston,2006-11-29,1,November
Allston,2006-12-01,1,December
Allston,2006-12-02,2,December
Allston,2006-12-03,2,December
Allston,2006-12-04,1,December
Allston,2006-12-05,6,December
Allston,2006-12-06,4,December
Allston,2006-12-07,2,December
Allston,2006-12-09,1,December
Allston,2006-12-10,1,December
Allston,2006-12-11,3,December
Allston,2006-12-12,4,December
Allston,2006-12-13,2,December
Allston,2006-12-14,1,December
Allston,2006-12-16,1,December
Allston,2006-12-18,4,December
Allston,2006-12-19,1,December
Allston,2006-12-22,3,December
Allston,2006-12-23,2,December
Allston,2006-12-24,3,December
Allston,2006-12-25,1,December
Allston,2006-12-26,2,December
Allston,2006-12-27,4,December
Allston,2006-12-28,3,December
Allston,2006-12-29,1,December
Allston,2006-12-30,2,December
Allston,2006-12-31,2,December
Allston,2007-01-01,3,January
Allston,2007-01-02,2,January
Allston,2007-01-03,2,January
Allston,2007-01-04,2,January
Allston,2007-01-05,1,January
Allston,2007-01-06,2,January
